Symbol,Average price,Average volume,Average no. of trades,Average deliverable qty,fromDate,toDate,NoOfDays
KIRLOSIND,685,4183,489,2047,2021-03-05,2020-03-05,365
KITEX,104,164097,2099,83545,2021-03-05,2020-03-05,365
KKCL,787,2022,342,1120,2021-03-05,2020-03-05,365
KMSUGAR,10,342064,665,194114,2021-03-05,2020-03-05,365
KNRCON,246,383631,8830,153903,2021-03-05,2020-03-05,365
KOKUYOCMLN,58,261561,2407,105157,2021-03-05,2020-03-05,365
KOLTEPATIL,182,167111,3879,56785,2021-03-05,2020-03-05,365
KOPRAN,77,391021,3190,199864,2021-03-05,2020-03-05,365
KOTAKBANK,1512,5764445,173125,2536049,2021-03-05,2020-03-05,365
KOTAKBKETF,253,293726,1458,199455,2021-03-05,2020-03-05,365
KOTAKGOLD,430,64935,1265,43229,2021-03-05,2020-03-05,365
KOTAKNIFTY,121,193761,846,133008,2021-03-05,2020-03-05,365
KOTAKNV20,60,12685,113,8375,2021-03-05,2020-03-05,365
KOTAKPSUBK,152,28386,442,17136,2021-03-05,2020-03-05,365
KOTARISUG,15,172231,431,88331,2021-03-05,2020-03-05,365
KOTHARIPET,17,74666,296,48352,2021-03-05,2020-03-05,365
KOTHARIPRO,61,13172,254,8013,2021-03-05,2020-03-05,365
KPITTECH,90,817114,8526,430814,2021-03-05,2020-03-05,365
KPRMILL,632,48502,2979,24861,2021-03-05,2020-03-05,365
KRBL,236,439154,7242,216628,2021-03-05,2020-03-05,365
KREBSBIO,91,26945,518,14064,2021-03-05,2020-03-05,365
KRIDHANINF,3,94002,123,78263,2021-03-05,2020-03-05,365
KRISHANA,70,1716,32,1024,2021-03-05,2021-02-02,31
KSB,537,37879,2191,18902,2021-03-05,2020-03-05,365
KSCL,508,305709,10534,123872,2021-03-05,2020-03-05,365
KSL,216,137413,3611,60224,2021-03-05,2020-03-05,365
KTKBANK,48,3034883,9877,1201301,2021-03-05,2020-03-05,365
KUANTUM,165,26578,386,14318,2021-03-05,2020-03-05,365
L&TFH,73,17904755,54574,4316735,2021-03-05,2020-03-05,365
LALPATHLAB,1932,185578,16812,83785,2021-03-05,2020-03-05,365
LAMBODHARA,32,34049,342,16247,2021-03-05,2020-03-05,365
LAOPALA,199,171806,4210,85376,2021-03-05,2020-03-05,365
LASA,70,192651,1973,92137,2021-03-05,2020-05-27,282
LAURUSLABS,535,2659660,47109,1115307,2021-03-05,2020-03-05,365
LAXMIMACH,3716,10520,2039,5732,2021-03-05,2020-03-05,365
LEMONTREE,30,2664757,7989,1491711,2021-03-05,2020-03-05,365
LFIC,59,2243,38,1340,2021-03-05,2020-03-05,365
LGBBROSLTD,244,81229,2390,38110,2021-03-05,2020-03-05,365
LIBERTSHOE,132,252392,3914,73362,2021-03-05,2020-03-05,365
LICHSGFIN,311,6369740,70316,1579416,2021-03-05,2020-03-05,365
LICNETFGSC,22,14861,94,12442,2021-03-05,2020-03-05,365
LICNETFN50,122,1392,111,736,2021-03-05,2020-03-05,365
LICNETFSEN,441,236,54,115,2021-03-05,2020-03-05,365
LICNFNHGP,121,798,45,377,2021-03-05,2020-03-05,365
LINCOLN,201,166062,3438,71213,2021-03-05,2020-03-05,365
LINCPEN,163,6714,213,4016,2021-03-05,2020-03-05,365
LINDEINDIA,771,97708,4992,40195,2021-03-05,2020-03-05,365
LIQUIDBEES,1000,996537,4050,777949,2021-03-05,2020-03-05,365
LIQUIDETF,1000,19246,106,14909,2021-03-05,2020-03-05,365
LOTUSEYE,30,16744,132,11324,2021-03-05,2020-03-05,365
LOVABLE,60,90418,1126,36095,2021-03-05,2020-03-05,365
LSIL,1,2014941,627,1362926,2021-03-05,2020-03-05,365
LT,1044,5480947,149044,2146354,2021-03-05,2020-03-05,365
LTI,2641,281206,31223,145453,2021-03-05,2020-03-05,365
LTTS,1689,207717,17163,99713,2021-03-05,2020-03-05,365
LUMAXIND,1256,7799,1025,4174,2021-03-05,2020-03-05,365
LUMAXTECH,98,116097,1821,48389,2021-03-05,2020-03-05,365
LUPIN,920,3701732,72015,840805,2021-03-05,2020-03-05,365
LUXIND,1330,63070,3842,18496,2021-03-05,2020-03-05,365
LYPSAGEMS,3,32376,84,25370,2021-03-05,2020-03-05,365
M&M,598,6759489,106506,1989730,2021-03-05,2020-03-05,365
M100,18,124547,518,91589,2021-03-05,2020-03-05,365
M50,114,6070,52,5371,2021-03-05,2020-03-05,365
MAANALU,71,43025,814,18876,2021-03-05,2020-03-05,365
MADHAV,30,35980,306,16722,2021-03-05,2020-03-05,365
MADHUCON,3,35809,69,31604,2021-03-05,2020-03-05,365
MAESGETF,24,98749,181,95375,2021-03-05,2020-11-24,101
MAGADSUGAR,108,35002,662,20911,2021-03-05,2020-03-05,365
MAGMA,38,1426374,4236,860516,2021-03-05,2020-03-05,365
MAGNUM,5,37980,74,28366,2021-03-05,2020-03-06,364
MAHABANK,12,4618290,6465,1909761,2021-03-05,2020-03-05,365
MAHASTEEL,98,21427,421,10946,2021-03-05,2020-05-27,282
MAHEPC,143,207961,3622,79509,2021-03-05,2020-03-05,365
MAHESHWARI,155,62748,871,22455,2021-03-05,2020-03-05,365
MAHINDCIE,129,279995,3736,163097,2021-03-05,2020-03-05,365
MAHLIFE,275,70462,3040,41074,2021-03-05,2020-03-05,365
MAHLOG,346,94192,3764,51009,2021-03-05,2020-03-05,365
MAHSCOOTER,3019,12218,1721,6320,2021-03-05,2020-03-05,365
MAHSEAMLES,242,113033,2642,54981,2021-03-05,2020-03-05,365
MAITHANALL,494,56860,2778,28068,2021-03-05,2020-03-05,365
MALUPAPER,27,52740,376,22513,2021-03-05,2020-03-05,365
MAN50ETF,118,37753,130,31681,2021-03-05,2020-03-05,365
MANAKALUCO,7,32856,111,26160,2021-03-05,2020-03-05,365
MANAKCOAT,5,26304,54,15602,2021-03-05,2020-03-05,365
MANAKSIA,43,82478,677,47140,2021-03-05,2020-05-27,282
MANAKSTEEL,13,45176,175,33216,2021-03-05,2020-03-05,365
MANALIPETC,27,1064293,3594,506042,2021-03-05,2020-03-05,365
MANAPPURAM,152,8813931,47314,1981504,2021-03-05,2020-03-05,365
MANGALAM,122,98524,1441,55135,2021-03-05,2020-03-05,365
MANGCHEFER,39,870236,5822,434665,2021-03-05,2020-03-05,365
MANGLMCEM,202,105355,1793,59141,2021-03-05,2020-03-05,365
MANGTIMBER,8,6519,33,5774,2021-03-05,2020-03-05,365
MANINDS,59,426614,3290,171067,2021-03-05,2020-03-05,365
MANINFRA,25,636637,2397,285947,2021-03-05,2020-03-05,365
MANUGRAPH,10,13011,68,10703,2021-03-05,2020-03-05,365
MANXT50,277,3727,49,2971,2021-03-05,2020-03-05,365
MARATHON,62,42677,362,28751,2021-03-05,2020-03-05,365
MARICO,357,3174587,42565,1130826,2021-03-05,2020-03-05,365
MARINE,191,184493,973,75982,2021-03-05,2020-12-02,93
MARKSANS,42,2246057,7913,1114358,2021-03-05,2020-03-05,365
MARUTI,6505,1383755,118194,358303,2021-03-05,2020-03-05,365
MASFIN,778,30231,2366,16972,2021-03-05,2020-03-05,365
MASTEK,706,201797,9500,71971,2021-03-05,2020-03-05,365
MATRIMONY,586,32341,1660,19051,2021-03-05,2020-03-05,365
MAWANASUG,27,133779,702,77432,2021-03-05,2020-03-05,365
MAXHEALTH,140,822099,10479,462919,2021-03-05,2020-09-04,182
MAXIND,60,492772,2706,271398,2021-03-05,2020-09-11,175
MAXVIL,39,156909,895,93100,2021-03-05,2020-03-05,365
MAYURUNIQ,245,122474,3611,71098,2021-03-05,2020-03-05,365
MAZDA,416,9468,577,5224,2021-03-05,2020-03-05,365
MBLINFRA,11,149898,326,98226,2021-03-05,2020-03-05,365
MCDHOLDING,25,47916,335,29553,2021-03-05,2020-03-05,365
MCDOWELL-N,564,3015258,59397,952208,2021-03-05,2020-03-05,365
MCL,77,21023,219,12522,2021-03-05,2020-08-19,198
MCLEODRUSS,17,608232,967,407096,2021-03-05,2020-03-05,365
MCX,1475,337429,19859,136550,2021-03-05,2020-03-05,365
MEGASOFT,8,72145,185,52297,2021-03-05,2020-03-05,365
MEGH,66,1694367,8643,587646,2021-03-05,2020-03-05,365
MENONBE,41,83659,931,42999,2021-03-05,2020-03-05,365
MEP,16,322173,684,215167,2021-03-05,2020-03-05,365
METROPOLIS,1728,143033,10832,78220,2021-03-05,2020-03-05,365
MFSL,580,1831053,37397,538936,2021-03-05,2020-03-05,365
MGEL,47,16269,141,12399,2021-03-05,2020-12-23,72
MGL,971,992581,33704,275668,2021-03-05,2020-03-05,365
MHRIL,179,103833,2342,62757,2021-03-05,2020-03-05,365
MIDHANI,199,984065,14193,343063,2021-03-05,2020-03-05,365
MINDACORP,75,971778,6186,422116,2021-03-05,2020-03-05,365
MINDAIND,346,291932,9326,126574,2021-03-05,2020-03-05,365
MINDTECK,30,21425,227,15506,2021-03-05,2020-03-05,365
MINDTREE,1222,1195608,39728,267668,2021-03-05,2020-03-05,365
MIRZAINT,48,555420,3412,207002,2021-03-05,2020-03-05,365
MITTAL,46,84190,424,46730,2021-03-05,2020-04-29,310
MMFL,301,24442,856,15361,2021-03-05,2020-03-05,365
MMP,75,18192,182,13864,2021-03-05,2020-03-05,365
MMTC,20,2964183,6403,787161,2021-03-05,2020-03-05,365
MOHITIND,4,4215,18,3774,2021-03-05,2020-03-05,365
MOIL,137,546976,8247,208398,2021-03-05,2020-03-05,365
MOLDTECH,39,55179,570,29676,2021-03-05,2020-03-05,365
MOLDTKPAC,258,52562,1875,27785,2021-03-05,2020-03-05,365
MONTECARLO,185,62019,1784,28280,2021-03-05,2020-03-05,365
MORARJEE,10,10621,59,7908,2021-03-05,2020-03-05,365
MOREPENLAB,24,2616371,6217,1131181,2021-03-05,2020-03-05,365
MOTHERSUMI,119,19534076,88173,5151334,2021-03-05,2020-03-05,365
MOTILALOFS,603,138934,5648,77988,2021-03-05,2020-03-05,365
MOTOGENFIN,22,6837,85,4187,2021-03-05,2020-03-05,365
MPHASIS,1173,425078,22594,225515,2021-03-05,2020-03-05,365
MPSLTD,341,14377,805,9184,2021-03-05,2020-03-05,365
MRF,67989,26082,13444,6134,2021-03-05,2020-03-05,365
MRPL,32,2012905,6919,782303,2021-03-05,2020-03-05,365
MSPL,7,27004,91,20421,2021-03-05,2020-03-05,365
MSTCLTD,158,587336,10367,194114,2021-03-05,2020-03-05,365
MTEDUCARE,11,150840,370,106281,2021-03-05,2020-03-05,365
MTNL,10,2133988,9132,917736,2021-03-05,2020-03-05,365
MUKANDENGG,10,7296,51,6102,2021-03-05,2020-03-05,365
MUKANDLTD,40,74711,463,48495,2021-03-05,2020-03-05,365
MUKTAARTS,27,21546,206,11816,2021-03-05,2020-03-05,365
MUNJALAU,50,499449,3425,164949,2021-03-05,2020-03-05,365
MUNJALSHOW,117,70986,1341,33054,2021-03-05,2020-03-05,365
MURUDCERA,17,160506,664,79857,2021-03-05,2020-03-05,365
MUTHOOTCAP,372,37455,1536,20759,2021-03-05,2020-03-05,365
MUTHOOTFIN,1080,2606096,82322,685217,2021-03-05,2020-03-05,365
N100,807,57936,1989,43583,2021-03-05,2020-03-05,365
NACLIND,36,117455,703,71390,2021-03-05,2020-03-05,365
NAGAFERT,4,232275,325,186089,2021-03-05,2020-03-06,364
NAGREEKCAP,6,1070,4,989,2021-03-05,2020-03-05,365
NAGREEKEXP,14,16761,105,9840,2021-03-05,2020-03-05,365
NAHARCAP,69,7807,158,4614,2021-03-05,2020-03-05,365
NAHARINDUS,27,15963,177,9160,2021-03-05,2020-03-05,365
NAHARPOLY,66,54664,655,30244,2021-03-05,2020-03-05,365
NAHARSPING,43,30696,341,20243,2021-03-05,2020-03-05,365
NAM-INDIA,285,1321289,26238,549528,2021-03-05,2020-03-05,365
NATCOPHARM,774,471134,17131,204651,2021-03-05,2020-03-05,365
NATHBIOGEN,286,59229,1498,33838,2021-03-05,2020-03-05,365
NATIONALUM,36,17612081,32342,5086974,2021-03-05,2020-03-05,365
NAUKRI,3505,577636,46067,174439,2021-03-05,2020-03-05,365
NAVINFLUOR,2013,160059,15177,75569,2021-03-05,2020-03-05,365
NAVKARCORP,29,682535,2759,286818,2021-03-05,2020-03-05,365
NAVNETEDUL,77,132130,2043,75675,2021-03-05,2020-03-05,365
NBCC,26,12887917,30847,4596499,2021-03-05,2020-03-05,365
NBIFIN,1585,1055,53,983,2021-03-05,2020-03-05,365
NBVENTURES,52,883686,5140,438773,2021-03-05,2020-03-05,365
NCC,40,18228579,34250,4503763,2021-03-05,2020-03-05,365
NCLIND,107,436037,4371,188926,2021-03-05,2020-03-05,365
NCPSESDL24,103,24908,10,23778,2021-03-05,2020-11-18,107
NDGL,592,495,61,221,2021-03-05,2020-03-05,365
NDL,22,67740,370,42926,2021-03-05,2020-03-05,365
NDRAUTO,190,14101,425,7447,2021-03-05,2020-08-13,204
NDTV,35,57924,486,36398,2021-03-05,2020-03-05,365
NECCLTD,9,73390,154,53828,2021-03-05,2020-03-05,365
NECLIFE,19,691472,2027,310189,2021-03-05,2020-03-05,365
NELCAST,53,285404,2280,101688,2021-03-05,2020-03-05,365
NELCO,196,143098,3274,52410,2021-03-05,2020-03-05,365
NEOGEN,652,59738,3429,26888,2021-03-05,2020-05-27,282
NESCO,511,119552,5052,44965,2021-03-05,2020-03-05,365
NESTLEIND,16773,151392,33908,67888,2021-03-05,2020-03-05,365
NETF,130,1182,42,699,2021-03-05,2020-03-05,365
NETFCONSUM,56,6831,82,5299,2021-03-05,2020-03-05,365
NETFDIVOPP,29,2113,40,1584,2021-03-05,2020-03-05,365
NETFIT,22,1060388,1441,909170,2021-03-05,2020-07-01,247
NETFLTGILT,22,51814,207,43260,2021-03-05,2020-03-05,365
NETFMID150,65,206514,563,172686,2021-03-05,2020-03-05,365
NETFNIF100,122,1316,53,978,2021-03-05,2020-03-05,365
NETFNV20,61,7910,71,5750,2021-03-05,2020-03-05,365
NETWORK18,34,1843103,4690,915165,2021-03-05,2020-03-05,365
NEULANDLAB,919,139117,7292,60380,2021-03-05,2020-03-05,365
NEWGEN,209,126768,4175,56312,2021-03-05,2020-03-05,365
NEXTMEDIA,5,9384,39,8392,2021-03-05,2020-03-05,365
NFL,33,2158697,7121,659534,2021-03-05,2020-03-05,365
NH,341,247983,8482,163036,2021-03-05,2020-03-05,365
NHPC,21,7286514,12677,3828835,2021-03-05,2020-03-05,365
NIACL,118,733718,10272,224322,2021-03-05,2020-03-05,365
NIFTYBEES,124,2450311,12914,1155239,2021-03-05,2020-03-05,365
NIITLTD,130,1044851,11616,362880,2021-03-05,2020-03-05,365
NILKAMAL,1294,23039,2244,8997,2021-03-05,2020-03-05,365
NIPPOBATRY,561,3592,379,1828,2021-03-05,2020-03-05,365
NIRAJ,44,29695,170,23263,2021-03-05,2020-10-01,155
NITCO,19,65707,345,43035,2021-03-05,2020-03-05,365
NITINSPIN,42,84760,751,53172,2021-03-05,2020-03-05,365
NKIND,17,1837,22,1414,2021-03-05,2020-03-05,365
NLCINDIA,49,1069064,5700,566315,2021-03-05,2020-03-05,365
NMDC,93,9314914,36876,2841384,2021-03-05,2020-03-05,365
NOCIL,120,2051099,16034,647867,2021-03-05,2020-03-05,365
NOIDATOLL,4,94591,148,75096,2021-03-05,2020-03-05,365
NORBTEAEXP,6,3313,24,2815,2021-03-05,2020-03-06,364
NOVARTIND,652,15737,1008,8341,2021-03-05,2020-10-05,151
NPBET,136,1075,31,769,2021-03-05,2020-03-05,365
NRAIL,199,29405,953,17840,2021-03-05,2020-03-05,365
NRBBEARING,81,444684,4482,195395,2021-03-05,2020-03-05,365
NSIL,762,1650,217,923,2021-03-05,2020-03-05,365
NTL,1,27586,33,24226,2021-03-05,2020-03-05,365
NTPC,93,28407432,87157,10679173,2021-03-05,2020-03-05,365
NUCLEUS,434,150435,5483,53724,2021-03-05,2020-03-05,365
NXTDIGITAL,487,5774,386,3138,2021-03-05,2020-03-05,365
OAL,360,41064,1805,20430,2021-03-05,2020-03-05,365
OBEROIRLTY,430,516011,17481,247992,2021-03-05,2020-03-05,365
OCCL,768,12385,1088,6824,2021-03-05,2020-03-05,365
OFSS,2866,66335,7748,41166,2021-03-05,2020-03-05,365
OIL,97,1816276,13790,695641,2021-03-05,2020-03-05,365
OLECTRA,85,247908,2459,147323,2021-03-05,2020-03-05,365
OMAXAUTO,37,42979,598,23562,2021-03-05,2020-03-05,365
OMAXE,103,328294,1777,145785,2021-03-05,2020-03-05,365
OMINFRAL,17,89849,349,61116,2021-03-05,2020-03-05,365
ONEPOINT,13,28260,79,21925,2021-03-05,2020-03-05,365
ONGC,82,29054894,103052,9225180,2021-03-05,2020-03-05,365
ONMOBILE,43,533087,3225,269748,2021-03-05,2020-03-05,365
ONWARDTEC,66,96409,1348,38118,2021-03-05,2020-03-05,365
OPTIEMUS,65,64025,459,45502,2021-03-05,2020-03-05,365
ORBTEXP,63,31449,514,15799,2021-03-05,2020-03-05,365
ORIENTABRA,19,106484,537,61922,2021-03-05,2020-03-05,365
ORIENTALTL,9,69839,149,55484,2021-03-05,2020-03-05,365
ORIENTBELL,117,61519,1161,31571,2021-03-05,2020-03-05,365
ORIENTCEM,67,734537,5270,372605,2021-03-05,2020-03-05,365
ORIENTELEC,205,405622,8616,236165,2021-03-05,2020-03-05,365
ORIENTHOT,21,59667,390,38274,2021-03-05,2020-03-05,365
ORIENTLTD,79,985,43,637,2021-03-05,2020-03-05,365
ORIENTPPR,19,825750,2439,395583,2021-03-05,2020-03-05,365
ORIENTREF,188,105140,2190,67808,2021-03-05,2020-03-05,365
ORISSAMINE,1995,17335,2464,7182,2021-03-05,2020-03-05,365
OSWALAGRO,9,102564,371,66711,2021-03-05,2020-03-05,365
PAGEIND,21644,49408,14777,15426,2021-03-05,2020-03-05,365
PAISALO,395,57729,838,39670,2021-03-05,2020-03-05,365
PALASHSECU,30,6055,41,5260,2021-03-05,2020-03-05,365
PANACEABIO,186,244621,4354,100273,2021-03-05,2020-03-05,365
PANACHE,46,16530,85,7680,2021-03-05,2020-03-05,365
PANAMAPET,64,158647,1746,81050,2021-03-05,2020-03-05,365
PARACABLES,7,270933,463,162926,2021-03-05,2020-03-05,365
PARAGMILK,100,712504,6706,333490,2021-03-05,2020-03-05,365
PARSVNATH,3,126874,152,95773,2021-03-05,2020-03-05,365
PATELENG,13,489230,1163,283294,2021-03-05,2020-03-05,365
PATINTLOG,22,59752,391,35201,2021-03-05,2020-03-05,365
PATSPINLTD,5,6290,18,5065,2021-03-05,2020-03-05,365
PCJEWELLER,18,3232808,7355,1403178,2021-03-05,2020-03-05,365
PDMJEPAPER,17,183958,591,105900,2021-03-05,2020-03-05,365
PDSMFL,362,6970,169,6256,2021-03-05,2020-03-05,365
PEARLPOLY,16,12210,71,8702,2021-03-05,2020-03-05,365
PEL,1309,1974606,64504,316272,2021-03-05,2020-03-05,365
PENIND,18,295997,998,182673,2021-03-05,2020-03-05,365
PENINLAND,5,213472,258,149714,2021-03-05,2020-03-05,365
PERSISTENT,1026,174020,11658,98196,2021-03-05,2020-03-05,365
PETRONET,241,4403887,49947,2107403,2021-03-05,2020-03-05,365
PFC,98,7436200,38180,2462638,2021-03-05,2020-03-05,365
PFIZER,4622,86472,12354,33706,2021-03-05,2020-03-05,365
PFOCUS,37,137597,866,76879,2021-03-05,2020-03-05,365
PFS,16,1289274,2402,735637,2021-03-05,2020-03-05,365
PGHH,10625,9328,2354,5335,2021-03-05,2020-03-05,365
PGHL,5182,19942,3966,11512,2021-03-05,2020-03-05,365
PGIL,141,9562,326,6110,2021-03-05,2020-03-05,365
PHILIPCARB,127,1558390,15535,484137,2021-03-05,2020-03-05,365
PHOENIXLTD,642,266331,12184,153567,2021-03-05,2020-03-05,365
PIDILITIND,1521,947538,39889,322210,2021-03-05,2020-03-05,365
PIIND,1889,349058,30381,213145,2021-03-05,2020-03-05,365
PILANIINVS,1654,3738,523,1880,2021-03-05,2020-03-05,365
PILITA,7,206302,340,116750,2021-03-05,2020-03-05,365
PIONDIST,111,17935,287,9134,2021-03-05,2020-05-27,282
PIONEEREMB,26,45940,368,28025,2021-03-05,2020-03-05,365
PITTIENG,38,158665,1375,43953,2021-03-05,2020-03-05,365
PLASTIBLEN,192,23791,740,11824,2021-03-05,2020-03-05,365
PNB,33,69454626,79749,14169284,2021-03-05,2020-03-05,365
PNBGILTS,39,721947,2834,317452,2021-03-05,2020-03-05,365
PNBHOUSING,289,627165,10687,252742,2021-03-05,2020-03-05,365
PNC,15,24656,152,14738,2021-03-05,2020-03-05,365
PNCINFRA,160,520714,8161,271026,2021-03-05,2020-03-05,365
PODDARMENT,172,15064,569,7109,2021-03-05,2020-03-05,365
POKARNA,136,98003,1435,63434,2021-03-05,2020-03-05,365
POLYCAB,915,376104,17763,172267,2021-03-05,2020-03-05,365
POLYMED,417,181139,6134,66052,2021-03-05,2020-03-05,365
POLYPLEX,630,150001,5951,72060,2021-03-05,2020-03-05,365
PONNIERODE,149,11763,449,5702,2021-03-05,2020-03-05,365
POWERGRID,179,12479827,68833,6363237,2021-03-05,2020-03-05,365
POWERINDIA,1021,62784,2831,44860,2021-03-05,2020-04-17,322
POWERMECH,420,67626,2725,32597,2021-03-05,2020-03-05,365
PPAP,210,47592,1239,24171,2021-03-05,2020-03-05,365
PPL,71,129326,1437,72404,2021-03-05,2020-03-05,365
PRABHAT,66,84314,724,55853,2021-03-05,2020-03-05,365
PRAENG,7,38193,98,29188,2021-03-05,2020-03-05,365
PRAJIND,82,1974886,13649,587857,2021-03-05,2020-03-05,365
PRAKASH,41,832544,3804,472884,2021-03-05,2020-03-05,365
PRAKASHSTL,1,277012,116,224691,2021-03-05,2020-08-18,199
PRECAM,35,328216,1997,174906,2021-03-05,2020-03-05,365
PRECOT,34,3446,34,2721,2021-03-05,2020-03-05,365
PRECWIRE,122,41104,942,21087,2021-03-05,2020-03-05,365
PREMEXPLN,119,24926,486,16639,2021-03-05,2020-03-05,365
PREMIERPOL,28,26615,220,13340,2021-03-05,2020-03-05,365
PRESSMN,19,58799,328,38857,2021-03-05,2020-03-05,365
PRESTIGE,234,714414,14953,310773,2021-03-05,2020-03-05,365
PRICOLLTD,47,534132,2545,292828,2021-03-05,2020-03-05,365
PRIMESECU,42,39891,357,28833,2021-03-05,2020-03-05,365
PRINCEPIPE,199,344765,6903,175702,2021-03-05,2020-03-05,365
PRIVISCL,553,41804,2241,22747,2021-03-05,2020-03-05,365
PROZONINTU,18,224783,787,142716,2021-03-05,2020-03-05,365
PRSMJOHNSN,62,480313,4202,228712,2021-03-05,2020-03-05,365
PSB,13,790555,1444,352972,2021-03-05,2020-03-05,365
PSPPROJECT,400,61961,1999,22402,2021-03-05,2020-03-05,365
PSUBNKBEES,17,445137,785,316082,2021-03-05,2020-03-05,365
PTC,51,2007367,9314,1033881,2021-03-05,2020-03-05,365
PTL,38,52494,528,31572,2021-03-05,2020-03-05,365
PUNJABCHEM,584,9340,622,5336,2021-03-05,2020-03-05,365
PURVA,53,232829,1870,101410,2021-03-05,2020-03-05,365
QGOLDHALF,2128,1737,142,1387,2021-03-05,2020-03-05,365
QNIFTY,1204,78,12,56,2021-03-05,2020-03-05,365
QUESS,402,324720,10942,181527,2021-03-05,2020-03-05,365
QUICKHEAL,134,545776,8085,163698,2021-03-05,2020-03-05,365
RADICO,408,569402,13592,219444,2021-03-05,2020-03-05,365
RADIOCITY,18,846308,1879,499311,2021-03-05,2020-03-05,365
RAILTEL,155,48093860,359268,12769627,2021-03-05,2021-02-26,7
RAIN,102,2177194,15926,691581,2021-03-05,2020-03-05,365
RAJESHEXPO,492,150023,7202,65389,2021-03-05,2020-03-05,365
RAJMET,72,3692,57,2719,2021-03-05,2021-02-16,17
RAJRATAN,362,13121,663,7234,2021-03-05,2020-05-22,287
RAJSREESUG,15,31662,184,18118,2021-03-05,2020-03-05,365
RAJTV,35,11543,154,5621,2021-03-05,2020-03-05,365
RALLIS,260,773522,14919,307162,2021-03-05,2020-03-05,365
RAMANEWS,14,74315,266,43283,2021-03-05,2020-03-05,365
RAMCOCEM,725,845607,20467,240496,2021-03-05,2020-03-05,365
RAMCOIND,182,93147,1860,46956,2021-03-05,2020-03-05,365
RAMCOSYS,323,324826,5376,148510,2021-03-05,2020-03-05,365
RAMKY,36,125949,761,75002,2021-03-05,2020-03-05,365
RANASUG,6,522440,544,311281,2021-03-05,2020-03-05,365
RANEENGINE,212,9660,410,3124,2021-03-05,2020-03-05,365
RANEHOLDIN,471,36451,1924,15519,2021-03-05,2020-03-05,365
RATNAMANI,1253,23722,2434,13615,2021-03-05,2020-03-05,365
RAYMOND,291,979544,16265,337320,2021-03-05,2020-03-05,365
RBL,595,30423,2081,7793,2021-03-05,2020-03-05,365
RBLBANK,187,26658762,148743,3700299,2021-03-05,2020-03-05,365
RCF,47,3325250,12646,1018501,2021-03-05,2020-03-05,365
RCOM,2,13975702,21865,8389179,2021-03-05,2020-03-05,365
RECLTD,112,7850196,36828,2326475,2021-03-05,2020-03-05,365
REDINGTON,113,760218,11169,349431,2021-03-05,2020-03-05,365
REFEX,61,201981,2015,103512,2021-03-05,2020-03-05,365
RELAXO,694,267394,14361,122841,2021-03-05,2020-03-05,365
RELCAPITAL,8,3256455,3364,1661978,2021-03-05,2020-03-05,365
RELIANCE,1840,18523406,421714,5607915,2021-03-05,2020-03-05,365
RELIGARE,46,620034,2344,383615,2021-03-05,2020-03-05,365
RELINFRA,25,3022920,6337,1584784,2021-03-05,2020-03-05,365
REMSONSIND,84,7630,198,3362,2021-03-05,2020-03-05,365
RENUKA,9,2226403,2056,1244894,2021-03-05,2020-03-05,365
REPCOHOME,185,401602,6927,220960,2021-03-05,2020-03-05,365
REPL,146,23333,259,19377,2021-03-05,2020-12-14,81
REPRO,378,6115,489,3280,2021-03-05,2020-03-05,365
RESPONIND,122,195705,2200,37100,2021-03-05,2020-03-05,365
REVATHI,427,5032,369,1870,2021-03-05,2020-03-05,365
RGL,253,9247,387,5099,2021-03-05,2020-03-05,365
RHFL,2,1439003,945,889159,2021-03-05,2020-03-05,365
RICOAUTO,31,703228,3305,320898,2021-03-05,2020-03-05,365
RIIL,359,371598,9011,79639,2021-03-05,2020-03-05,365
RITES,249,576698,11529,236019,2021-03-05,2020-03-05,365
RKDL,7,25898,91,16323,2021-03-05,2020-03-05,365
RKEC,51,58758,555,33134,2021-03-05,2020-12-18,77
RKFORGE,308,82693,1827,39487,2021-03-05,2020-03-05,365
