Symbol,Average price,Average volume,Average no. of trades,Average deliverable qty,fromDate,toDate,NoOfDays
RML,222,35155,1360,13735,2021-03-05,2020-03-05,365
ROHLTD,60,192530,1778,62703,2021-03-05,2020-03-05,365
ROLTA,5,405196,4936,297208,2021-03-05,2020-03-05,365
ROSSARI,831,721916,25553,145817,2021-03-05,2020-07-23,225
ROSSELLIND,96,20686,364,14620,2021-03-05,2020-03-05,365
ROUTE,1121,1548969,58963,332090,2021-03-05,2020-09-21,165
RPGLIFE,326,84604,3032,31831,2021-03-05,2020-03-05,365
RPOWER,3,20158635,13506,10145836,2021-03-05,2020-03-05,365
RPPINFRA,53,87138,755,45343,2021-03-05,2020-03-05,365
RPSGVENT,221,82150,2241,42962,2021-03-05,2020-03-05,365
RSSOFTWARE,20,42928,260,29255,2021-03-05,2020-03-05,365
RSWM,90,29017,564,20030,2021-03-05,2020-03-05,365
RSYSTEMS,105,51675,948,26076,2021-03-05,2020-03-05,365
RTNINFRA,6,832651,687,507595,2021-03-05,2020-05-27,282
RTNPOWER,2,13883277,4606,6730269,2021-03-05,2020-03-05,365
RUBYMILLS,165,6893,299,3534,2021-03-05,2020-03-05,365
RUCHI,856,68799,3929,36560,2021-03-05,2020-06-16,262
RUCHIRA,50,82534,899,46677,2021-03-05,2020-03-05,365
RUPA,201,97104,2285,38840,2021-03-05,2020-03-05,365
RUSHIL,118,50176,961,23306,2021-03-05,2020-03-05,365
RVHL,24,116047,700,63728,2021-03-05,2021-01-04,60
RVNL,21,7805200,16929,2963023,2021-03-05,2020-03-05,365
SABEVENTS,1,6796,13,6300,2021-03-05,2020-03-06,364
SADBHAV,52,748480,3943,437529,2021-03-05,2020-03-05,365
SADBHIN,18,464282,1159,286308,2021-03-05,2020-03-05,365
SAFARI,444,19437,1126,10915,2021-03-05,2020-03-05,365
SAGARDEEP,88,48160,461,27616,2021-03-05,2020-05-27,282
SAGCEM,513,41644,2163,18537,2021-03-05,2020-03-05,365
SAIL,42,42517365,60720,10710041,2021-03-05,2020-03-05,365
SAKAR,74,32062,313,16713,2021-03-05,2020-03-05,365
SAKHTISUG,9,107031,321,64640,2021-03-05,2020-03-05,365
SAKSOFT,269,57016,2231,20909,2021-03-05,2020-03-05,365
SAKUMA,6,440645,676,275001,2021-03-05,2020-03-05,365
SALASAR,199,71091,1273,24385,2021-03-05,2020-03-05,365
SALONA,59,2736,71,1062,2021-03-05,2020-03-05,365
SALSTEEL,3,44469,83,33417,2021-03-05,2020-03-05,365
SALZERELEC,96,73906,1393,33137,2021-03-05,2020-03-05,365
SAMBHAAV,2,38875,54,32267,2021-03-05,2020-03-05,365
SANCO,12,146717,337,77468,2021-03-05,2020-03-05,365
SANDESH,534,1712,239,826,2021-03-05,2020-03-05,365
SANDHAR,212,38166,1552,21935,2021-03-05,2020-03-05,365
SANGHIIND,28,1561507,4285,800288,2021-03-05,2020-03-05,365
SANGHVIMOV,80,39141,589,29111,2021-03-05,2020-03-05,365
SANGINITA,63,53726,340,36885,2021-03-05,2020-03-05,365
SANOFI,7976,29796,6130,17349,2021-03-05,2020-03-05,365
SARDAEN,237,98879,2941,41473,2021-03-05,2020-03-05,365
SAREGAMA,571,48829,2542,21252,2021-03-05,2020-03-05,365
SARLAPOLY,19,174981,685,107424,2021-03-05,2020-03-05,365
SASKEN,607,51474,3132,16895,2021-03-05,2020-03-05,365
SASTASUNDR,99,29878,533,19161,2021-03-05,2020-03-05,365
SATIA,91,95888,1123,27969,2021-03-05,2020-03-05,365
SATIN,74,249903,2074,157929,2021-03-05,2020-03-05,365
SBICARD,778,2666017,102505,1134425,2021-03-05,2020-03-16,354
SBIETFIT,240,3140,103,2093,2021-03-05,2020-10-22,134
SBIETFPB,171,2397,60,1845,2021-03-05,2020-10-22,134
SBIETFQLTY,105,4529,112,3428,2021-03-05,2020-03-05,365
SBILIFE,815,1678387,60754,835768,2021-03-05,2020-03-05,365
SBIN,228,63557490,339133,14044673,2021-03-05,2020-03-05,365
SCHAEFFLER,3903,14887,2791,10615,2021-03-05,2020-03-05,365
SCHAND,66,186421,1500,95848,2021-03-05,2020-03-05,365
SCHNEIDER,84,525179,5043,204980,2021-03-05,2020-03-05,365
SCI,61,3186579,14116,1025414,2021-03-05,2020-03-05,365
SDBL,43,232018,1491,142209,2021-03-05,2020-06-16,262
SEAMECLTD,392,38589,1188,12761,2021-03-05,2020-03-05,365
SECURKLOUD,80,73867,953,51691,2021-03-05,2020-09-15,171
SELAN,108,77952,1486,31775,2021-03-05,2020-03-05,365
SEQUENT,137,1268988,11101,579351,2021-03-05,2020-03-05,365
SESHAPAPER,141,72168,1284,35575,2021-03-05,2020-03-05,365
SETCO,11,133700,387,93964,2021-03-05,2020-03-05,365
SETF10GILT,200,865,25,726,2021-03-05,2020-03-05,365
SETFGOLD,4401,16749,1818,12221,2021-03-05,2020-03-05,365
SETFNIF50,121,380793,1722,279237,2021-03-05,2020-03-05,365
SETFNIFBK,250,162363,1527,110668,2021-03-05,2020-03-05,365
SETFNN50,288,14158,295,11204,2021-03-05,2020-03-05,365
SEYAIND,65,38497,466,25074,2021-03-05,2020-03-05,365
SFL,1515,23381,2911,13468,2021-03-05,2020-03-05,365
SGL,8,44426,164,28924,2021-03-05,2020-03-05,365
SHAKTIPUMP,239,131591,3535,65359,2021-03-05,2020-03-05,365
SHALBY,85,419177,4603,155431,2021-03-05,2020-03-05,365
SHALPAINTS,72,224109,2390,96625,2021-03-05,2020-03-05,365
SHANKARA,336,105289,3773,37122,2021-03-05,2020-03-05,365
SHANTIGEAR,99,115007,1569,51363,2021-03-05,2020-03-05,365
SHARDACROP,243,67500,2324,32061,2021-03-05,2020-03-05,365
SHARDAMOTR,1160,5649,732,3077,2021-03-05,2020-03-05,365
SHAREINDIA,151,32591,466,18734,2021-03-05,2020-09-21,165
SHARIABEES,293,1157,43,938,2021-03-05,2020-03-05,365
SHEMAROO,64,76180,820,50354,2021-03-05,2020-03-05,365
SHIL,112,200436,2179,134249,2021-03-05,2020-03-05,365
SHILPAMED,456,373527,11413,157522,2021-03-05,2020-03-05,365
SHIVAMAUTO,17,97768,394,70630,2021-03-05,2020-03-05,365
SHIVATEX,96,5722,119,4207,2021-03-05,2020-03-05,365
SHK,90,1033852,9655,451383,2021-03-05,2020-03-05,365
SHOPERSTOP,189,268587,4562,117179,2021-03-05,2020-03-05,365
SHREDIGCEM,48,1068636,4552,472595,2021-03-05,2020-03-05,365
SHREECEM,22044,68954,18552,20570,2021-03-05,2020-03-05,365
SHREEPUSHK,107,74648,1490,42460,2021-03-05,2020-03-05,365
SHREERAMA,6,61276,153,42388,2021-03-05,2020-03-05,365
SHRENIK,22,771279,796,524322,2021-03-05,2020-03-05,365
SHREYANIND,79,39451,707,20763,2021-03-05,2020-03-05,365
SHREYAS,62,55454,541,38319,2021-03-05,2020-03-05,365
SHRIRAMCIT,926,57697,4350,29505,2021-03-05,2020-03-05,365
SHRIRAMEPC,4,325531,342,233207,2021-03-05,2020-03-05,365
SHYAMCENT,4,57314,139,44397,2021-03-05,2020-03-05,365
SICAGEN,13,21033,122,14985,2021-03-05,2020-03-05,365
SICAL,11,314945,640,216829,2021-03-05,2020-03-05,365
SIEMENS,1320,646740,31503,157041,2021-03-05,2020-03-05,365
SIGIND,22,36690,340,20270,2021-03-05,2020-03-05,365
SILGO,57,300382,2085,140062,2021-03-05,2021-03-03,2
SILINV,147,7368,208,5284,2021-03-05,2020-03-05,365
SIMBHALS,7,23973,81,17597,2021-03-05,2020-03-05,365
SIMPLEXINF,32,222469,958,154924,2021-03-05,2020-03-05,365
SINTERCOM,81,6707,33,5737,2021-03-05,2020-10-07,149
SIS,396,119680,5243,62276,2021-03-05,2020-03-05,365
SITINET,1,10561154,781,7058708,2021-03-05,2020-03-05,365
SIYSIL,154,134221,2548,56702,2021-03-05,2020-03-05,365
SJVN,23,2172289,5412,1200554,2021-03-05,2020-03-05,365
SKFINDIA,1630,51360,3988,33635,2021-03-05,2020-03-05,365
SKIPPER,45,140926,1060,89621,2021-03-05,2020-03-05,365
SKMEGGPROD,42,69272,667,34582,2021-03-05,2020-03-05,365
SMARTLINK,72,28736,452,12456,2021-03-05,2020-03-05,365
SMLISUZU,414,59284,2688,20695,2021-03-05,2020-03-05,365
SMSLIFE,447,19260,901,8803,2021-03-05,2020-03-05,365
SMSPHARMA,79,389445,3292,183846,2021-03-05,2020-03-05,365
SNOWMAN,40,2161696,8704,878938,2021-03-05,2020-03-05,365
SOBHA,283,400648,11010,175227,2021-03-05,2020-03-05,365
SOLARA,916,125090,7328,50459,2021-03-05,2020-03-05,365
SOLARINDS,1038,35944,2111,25554,2021-03-05,2020-03-05,365
SOMANYCERA,206,132402,2921,79266,2021-03-05,2020-03-05,365
SONATSOFTW,302,500912,13177,186340,2021-03-05,2020-03-05,365
SORILINFRA,79,131183,1848,58110,2021-03-05,2020-03-05,365
SOTL,708,11064,869,6551,2021-03-05,2020-03-05,365
SOUTHBANK,7,19366674,41541,8756437,2021-03-05,2020-03-05,365
SOUTHWEST,31,54663,162,43203,2021-03-05,2020-03-05,365
SPAL,112,60332,1118,38312,2021-03-05,2020-03-05,365
SPANDANA,623,59985,3339,38271,2021-03-05,2020-03-05,365
SPARC,163,1050425,12410,299446,2021-03-05,2020-03-05,365
SPECIALITY,36,107552,760,64108,2021-03-05,2020-03-05,365
SPENCERS,81,1137921,8543,352668,2021-03-05,2020-03-05,365
SPIC,20,546683,1718,233675,2021-03-05,2020-03-05,365
SPICEJET,60,5455956,23277,2099362,2021-03-05,2020-03-05,365
SPLIL,30,59382,508,32948,2021-03-05,2020-03-05,365
SPMLINFRA,9,32984,114,24577,2021-03-05,2020-03-05,365
SPTL,2,2067553,749,1318009,2021-03-05,2020-03-05,365
SREEL,135,17575,396,11652,2021-03-05,2020-03-05,365
SREINFRA,6,1695766,1568,1047686,2021-03-05,2020-03-05,365
SRF,4354,265200,23400,66554,2021-03-05,2020-03-05,365
SRHHYPOLTD,170,27823,835,15185,2021-03-05,2020-03-05,365
SRIPIPES,155,176785,3438,100210,2021-03-05,2020-03-05,365
SRTRANSFIN,837,4916976,101367,929038,2021-03-05,2020-03-05,365
SSWL,478,48637,2390,20059,2021-03-05,2020-03-05,365
STAR,606,1085631,26378,267889,2021-03-05,2020-03-05,365
STARCEMENT,86,365241,2956,127055,2021-03-05,2020-03-05,365
STARPAPER,99,196471,2901,65827,2021-03-05,2020-03-05,365
STCINDIA,59,64421,898,26822,2021-03-05,2020-03-05,365
STEELCITY,30,18802,109,13695,2021-03-05,2020-03-05,365
STEELXIND,32,91160,362,62932,2021-03-05,2020-03-05,365
STERTOOLS,176,25182,757,14360,2021-03-05,2020-03-05,365
STLTECH,139,1886741,19021,597210,2021-03-05,2020-03-05,365
SUBEXLTD,27,8387071,15559,3824058,2021-03-05,2020-11-19,106
SUBROS,237,122115,3311,50655,2021-03-05,2020-03-05,365
SUDARSCHEM,441,267258,7636,100304,2021-03-05,2020-03-05,365
SUMICHEM,273,574358,8540,286596,2021-03-05,2020-03-05,365
SUMIT,9,37035,119,25268,2021-03-05,2020-08-18,199
SUMMITSEC,406,3601,220,2686,2021-03-05,2020-03-05,365
SUNCLAYLTD,1969,7354,931,3795,2021-03-05,2020-03-05,365
SUNDARAM,1,244672,151,177953,2021-03-05,2020-03-05,365
SUNDARMFIN,1513,79028,6235,48243,2021-03-05,2020-03-05,365
SUNDARMHLD,57,164031,1102,102944,2021-03-05,2020-03-05,365
SUNDRMBRAK,247,6147,344,3068,2021-03-05,2020-03-05,365
SUNDRMFAST,437,136814,6856,77928,2021-03-05,2020-03-05,365
SUNFLAG,45,592244,3271,227203,2021-03-05,2020-03-05,365
SUNPHARMA,510,10835635,136513,2530966,2021-03-05,2020-03-05,365
SUNTECK,257,529285,9612,159846,2021-03-05,2020-03-05,365
SUNTV,431,2874590,39158,559632,2021-03-05,2020-03-05,365
SUPERHOUSE,93,49666,852,19150,2021-03-05,2020-03-05,365
SUPERSPIN,4,33931,78,24389,2021-03-05,2020-03-05,365
SUPPETRO,245,88441,2085,56232,2021-03-05,2020-03-05,365
SUPRAJIT,174,285311,5769,145218,2021-03-05,2020-03-05,365
SUPREMEENG,26,44491,94,29068,2021-03-05,2020-12-04,91
SUPREMEIND,1369,89721,9166,54275,2021-03-05,2020-03-05,365
SURANAT&P,4,127406,210,76129,2021-03-05,2020-03-05,365
SURYALAXMI,20,14433,146,10216,2021-03-05,2020-03-05,365
SURYAROSNI,196,169796,3613,85845,2021-03-05,2020-03-05,365
SUTLEJTEX,28,162339,682,116493,2021-03-05,2020-03-05,365
SUVEN,52,891154,4656,450433,2021-03-05,2020-03-05,365
SUVENPHAR,448,386147,14720,207977,2021-03-05,2020-03-24,346
SUZLON,4,17652807,19723,9180028,2021-03-05,2020-03-05,365
SWANENERGY,126,147044,2916,30335,2021-03-05,2020-03-05,365
SWARAJENG,1328,10629,1338,6671,2021-03-05,2020-03-05,365
SWELECTES,130,20692,457,12897,2021-03-05,2020-03-05,365
SWSOLAR,207,463071,6886,255357,2021-03-05,2020-03-05,365
SYMPHONY,916,84067,6602,34671,2021-03-05,2020-03-05,365
SYNGENE,472,640357,21639,353007,2021-03-05,2020-03-05,365
TAINWALCHM,55,29327,473,11980,2021-03-05,2020-03-05,365
TAJGVK,134,161006,2972,60134,2021-03-05,2020-03-05,365
TAKE,50,1258776,5957,571541,2021-03-05,2020-03-05,365
TALBROAUTO,123,65444,1403,23926,2021-03-05,2020-03-05,365
TANLA,316,457415,6329,245907,2021-03-05,2020-03-05,365
TARC,27,881129,2670,578439,2021-03-05,2021-01-04,60
TARMAT,36,32817,325,18778,2021-03-05,2020-03-05,365
TASTYBITE,11423,2124,914,1040,2021-03-05,2020-03-05,365
TATACHEM,363,4017234,49704,835779,2021-03-05,2020-03-05,365
TATACOFFEE,95,1209455,9116,403769,2021-03-05,2020-03-05,365
TATACOMM,769,219484,7908,126879,2021-03-05,2020-03-05,365
TATACONSUM,472,4718815,77700,2051179,2021-03-05,2020-03-05,365
TATAELXSI,1374,670988,33274,144064,2021-03-05,2020-03-05,365
TATAINVEST,849,33460,2440,15066,2021-03-05,2020-03-05,365
TATAMETALI,546,157186,6768,48860,2021-03-05,2020-03-05,365
TATAMOTORS,150,78490505,289332,10515508,2021-03-05,2020-03-05,365
TATAMTRDVR,62,7796763,25853,2750160,2021-03-05,2020-03-05,365
TATAPOWER,56,32677278,61748,7562368,2021-03-05,2020-03-05,365
TATASTEEL,441,17554302,169567,3109697,2021-03-05,2020-03-05,365
TATASTLBSL,27,3852649,6275,1657492,2021-03-05,2020-03-05,365
TATASTLLP,386,129737,4413,52244,2021-03-05,2020-03-05,365
TBZ,41,472654,3453,165915,2021-03-05,2020-03-05,365
TCI,209,62751,1561,38852,2021-03-05,2020-03-05,365
TCIDEVELOP,294,1288,170,609,2021-03-05,2020-03-05,365
TCIEXP,769,32706,2887,17400,2021-03-05,2020-03-05,365
TCIFINANCE,5,10365,42,8528,2021-03-05,2020-03-05,365
TCNSBRANDS,394,76960,2364,48811,2021-03-05,2020-03-05,365
TCPLPACK,319,8670,391,5062,2021-03-05,2020-03-05,365
TCS,2436,4173437,165228,1677467,2021-03-05,2020-03-05,365
TDPOWERSYS,116,65038,1090,36312,2021-03-05,2020-03-05,365
TEAMLEASE,2216,28748,3759,17305,2021-03-05,2020-03-05,365
TECHM,747,5070873,104881,1903530,2021-03-05,2020-03-05,365
TECHNOE,214,102257,2127,50458,2021-03-05,2020-03-05,365
TEJASNET,96,628897,5725,349178,2021-03-05,2020-03-05,365
TERASOFT,30,87930,673,41478,2021-03-05,2020-03-05,365
TEXINFRA,41,138654,689,92658,2021-03-05,2020-03-05,365
TEXMOPIPES,16,153788,659,84938,2021-03-05,2020-03-05,365
TEXRAIL,26,887124,3366,413084,2021-03-05,2020-03-05,365
TFCILTD,41,463870,2109,261597,2021-03-05,2020-03-05,365
TGBHOTELS,4,18372,54,15334,2021-03-05,2020-03-05,365
THANGAMAYL,394,50291,2241,20549,2021-03-05,2020-03-05,365
THEINVEST,111,6834,150,4879,2021-03-05,2020-03-05,365
THEMISMED,341,13982,580,7684,2021-03-05,2020-03-05,365
THERMAX,828,93741,4781,61861,2021-03-05,2020-03-05,365
THOMASCOOK,35,742197,3814,448607,2021-03-05,2020-03-05,365
THYROCARE,768,234217,10884,83268,2021-03-05,2020-03-05,365
TI,20,179166,628,109382,2021-03-05,2020-03-05,365
TIDEWATER,4141,2445,644,1357,2021-03-05,2020-03-05,365
TIIL,294,21607,720,14227,2021-03-05,2020-03-05,365
TIINDIA,606,182491,6759,134934,2021-03-05,2020-03-05,365
TIL,146,10423,400,5911,2021-03-05,2020-03-05,365
TIMESGTY,23,3514,57,2283,2021-03-05,2020-03-05,365
TIMETECHNO,41,611902,3005,306771,2021-03-05,2020-03-05,365
TIMKEN,1049,50909,4284,29177,2021-03-05,2020-03-05,365
TINPLATE,130,698716,10116,190739,2021-03-05,2020-03-05,365
TIRUMALCHM,70,760243,5353,309712,2021-03-05,2020-03-05,365
TITAN,1178,3302224,101363,881099,2021-03-05,2020-03-05,365
TMRVL,10,61562,292,43528,2021-03-05,2020-03-05,365
TNPETRO,37,405777,2296,179399,2021-03-05,2020-03-05,365
TNPL,113,361579,4575,150326,2021-03-05,2020-03-05,365
TOKYOPLAST,64,12951,248,7266,2021-03-05,2020-03-05,365
TORNTPHARM,2552,667239,38755,207814,2021-03-05,2020-03-05,365
TORNTPOWER,321,1541533,19309,425566,2021-03-05,2020-03-05,365
TOTAL,52,33632,271,25984,2021-03-05,2020-08-28,189
TPLPLASTEH,118,12891,376,5485,2021-03-05,2020-03-05,365
TREEHOUSE,6,56005,227,42344,2021-03-05,2020-03-05,365
TREJHARA,19,27568,177,20018,2021-03-05,2020-03-05,365
TRENT,623,821381,28117,469630,2021-03-05,2020-03-05,365
TRF,80,49386,827,22220,2021-03-05,2020-03-05,365
TRIDENT,8,15903678,23862,6831888,2021-03-05,2020-03-05,365
TRIGYN,49,86847,685,54149,2021-03-05,2020-03-05,365
TRIL,10,275544,672,155873,2021-03-05,2020-03-05,365
TRITURBINE,75,209600,2372,110654,2021-03-05,2020-03-05,365
TRIVENI,62,634245,4276,329563,2021-03-05,2020-03-05,365
TTKHLTCARE,472,4554,392,2445,2021-03-05,2020-03-05,365
TTKPRESTIG,5651,11837,2534,6030,2021-03-05,2020-03-05,365
TTL,37,19410,292,10343,2021-03-05,2020-03-05,365
TV18BRDCST,28,6869351,10663,2961219,2021-03-05,2020-03-05,365
TVSELECT,96,106586,1589,47321,2021-03-05,2020-03-05,365
TVSMOTOR,436,3285345,42654,628824,2021-03-05,2020-03-05,365
TVSSRICHAK,1494,24397,2640,6953,2021-03-05,2020-03-05,365
TVTODAY,209,94170,2290,49958,2021-03-05,2020-03-05,365
TVVISION,2,10304,18,9581,2021-03-05,2020-03-05,365
TWL,42,526430,3218,220244,2021-03-05,2020-03-05,365
UBL,1043,725194,25641,197446,2021-03-05,2020-03-05,365
UCALFUEL,115,75991,1767,28426,2021-03-05,2020-03-05,365
UCOBANK,13,3840216,7483,1362581,2021-03-05,2020-03-05,365
UFLEX,286,216358,4988,83380,2021-03-05,2020-03-05,365
UFO,78,269381,3138,118976,2021-03-05,2020-03-05,365
UGARSUGAR,14,252703,825,125977,2021-03-05,2020-03-05,365
UJJIVAN,229,2958195,26991,416225,2021-03-05,2020-03-05,365
UJJIVANSFB,34,2308505,8647,1080039,2021-03-05,2020-03-05,365
ULTRACEMCO,4397,690108,55796,239757,2021-03-05,2020-03-05,365
UMANGDAIRY,47,47052,597,20567,2021-03-05,2020-03-05,365
UNICHEMLAB,220,151805,3420,66800,2021-03-05,2020-03-05,365
UNIDT,266,19706,366,9941,2021-03-05,2020-09-25,161
UNIENTER,61,19761,393,11230,2021-03-05,2020-03-05,365
UNIONBANK,29,7336305,14804,2172086,2021-03-05,2020-03-05,365
UNITEDTEA,285,4051,192,2132,2021-03-05,2020-03-05,365
UNIVCABLES,125,42103,969,22278,2021-03-05,2020-03-05,365
UNIVPHOTO,131,7313,167,5727,2021-03-05,2020-03-05,365
UPL,455,7712994,105680,2076374,2021-03-05,2020-03-05,365
USHAMART,23,851129,1811,545821,2021-03-05,2020-03-05,365
UTIAMC,543,542239,20085,294209,2021-03-05,2020-10-12,144
UTIBANKETF,257,13240,188,8383,2021-03-05,2020-09-04,182
UTINEXT50,291,2943,51,2632,2021-03-05,2020-03-05,365
UTINIFTETF,1242,6660,72,6232,2021-03-05,2020-03-05,365
UTISENSETF,425,2439,110,1738,2021-03-05,2020-03-05,365
UTISXN50,295,821,36,593,2021-03-05,2020-03-05,365
UTTAMSUGAR,81,81041,1235,32113,2021-03-05,2020-03-05,365
V2RETAIL,64,110305,992,67058,2021-03-05,2020-03-05,365
VADILALIND,676,12209,672,7225,2021-03-05,2020-03-05,365
VAIBHAVGBL,1754,29146,3677,19897,2021-03-05,2020-03-05,365
VAKRANGEE,36,3295296,7284,1901062,2021-03-05,2020-03-05,365
VALIANTORG,2400,21948,2606,13235,2021-03-05,2020-10-05,151
VARDHACRLC,31,51219,262,33444,2021-03-05,2020-03-05,365
VARDMNPOLY,10,51989,220,30365,2021-03-05,2020-03-05,365
VARROC,278,299958,7407,155826,2021-03-05,2020-03-05,365
VASCONEQ,10,304953,597,198786,2021-03-05,2020-03-05,365
VASWANI,5,15455,48,12060,2021-03-05,2020-03-05,365
VBL,749,322500,15202,179373,2021-03-05,2020-03-05,365
VEDL,122,29723227,99044,8861298,2021-03-05,2020-03-05,365
VENKEYS,1325,160811,11069,36354,2021-03-05,2020-03-05,365
VENUSREM,120,57179,853,36409,2021-03-05,2020-03-05,365
VERTOZ,161,118770,1000,52690,2021-03-05,2020-05-14,295
VESUVIUS,946,10636,577,8119,2021-03-05,2020-03-05,365
VETO,57,59081,540,37226,2021-03-05,2020-03-05,365
VGUARD,182,715478,11570,328795,2021-03-05,2020-03-05,365
VHL,1251,711,125,457,2021-03-05,2020-03-05,365
VIDHIING,96,158047,2191,77317,2021-03-05,2020-03-05,365
VIJIFIN,1,191106,103,144178,2021-03-05,2020-03-05,365
VIKASECO,4,2140619,895,1399504,2021-03-05,2020-03-05,365
VIKASMCORP,7,9145303,6235,5064181,2021-03-05,2020-03-05,365
VIKASPROP,4,2235370,1856,1352422,2021-03-05,2020-03-05,365
VIKASWSP,5,411636,419,293675,2021-03-05,2020-03-05,365
VIMTALABS,117,143679,2135,54703,2021-03-05,2020-03-05,365
VINATIORGA,1093,146906,9172,64006,2021-03-05,2020-03-05,365
VINDHYATEL,725,20108,1375,9758,2021-03-05,2020-03-05,365
VINYLINDIA,96,219415,3198,74542,2021-03-05,2020-03-05,365
VIPIND,296,627708,14647,237741,2021-03-05,2020-03-05,365
VIPULLTD,16,23915,123,16860,2021-03-05,2020-03-05,365
VISAKAIND,305,72439,2444,37174,2021-03-05,2020-03-05,365
VISASTEEL,6,27711,94,20184,2021-03-05,2020-03-05,365
VISHAL,156,209499,1291,72885,2021-03-05,2020-08-31,186
VISHNU,146,25700,720,12210,2021-03-05,2020-03-05,365
VISHWARAJ,96,29323,409,15092,2021-03-05,2020-03-05,365
VIVIMEDLAB,16,343339,882,200198,2021-03-05,2020-03-05,365
VLSFINANCE,57,62846,708,34423,2021-03-05,2020-03-05,365
VMART,2006,30962,3768,16105,2021-03-05,2020-03-05,365
VOLTAMP,1069,16925,2185,8450,2021-03-05,2020-03-05,365
VOLTAS,687,2376022,46008,542692,2021-03-05,2020-03-05,365
VRLLOG,174,246614,5065,117623,2021-03-05,2020-03-05,365
VSSL,83,30361,442,21426,2021-03-05,2020-03-05,365
VSTIND,3368,13463,2122,8191,2021-03-05,2020-03-05,365
VSTTILLERS,1492,25629,2873,11823,2021-03-05,2020-03-05,365
VTL,818,41598,2943,28346,2021-03-05,2020-03-05,365
WABAG,164,520496,8637,222672,2021-03-05,2020-03-05,365
WABCOINDIA,6147,8001,1285,4774,2021-03-05,2020-03-05,365
WALCHANNAG,53,211724,2054,89275,2021-03-05,2020-03-05,365
WATERBASE,104,362957,4395,98049,2021-03-05,2020-03-05,365
WEALTH,130,5754,76,5322,2021-03-05,2021-01-21,43
WEBELSOLAR,26,143931,610,89026,2021-03-05,2020-03-05,365
WEIZMANIND,32,11519,128,6884,2021-03-05,2020-03-05,365
WELCORP,101,1298433,9696,697219,2021-03-05,2020-03-05,365
WELENT,70,221364,2050,126933,2021-03-05,2020-03-05,365
WELINV,255,1838,85,1202,2021-03-05,2020-03-05,365
WELSPUNIND,51,1181550,5194,790072,2021-03-05,2020-03-05,365
WENDT,2815,1700,328,798,2021-03-05,2020-03-05,365
WESTLIFE,374,280369,7870,143761,2021-03-05,2020-03-05,365
WHEELS,432,18428,1082,9256,2021-03-05,2020-03-05,365
WHIRLPOOL,2150,88726,8871,46533,2021-03-05,2020-03-05,365
WILLAMAGOR,18,13165,115,9358,2021-03-05,2020-03-05,365
WINDMACHIN,15,54324,194,30853,2021-03-05,2020-03-05,365
WIPRO,298,13683986,109456,3351534,2021-03-05,2020-03-05,365
WOCKPHARMA,336,899778,17913,263126,2021-03-05,2020-03-05,365
WONDERLA,165,100362,3234,48559,2021-03-05,2020-03-05,365
WORTH,49,33400,277,20725,2021-03-05,2020-08-04,213
WSI,3,9110,24,7981,2021-03-05,2020-05-28,281
WSTCSTPAPR,170,171485,3279,86055,2021-03-05,2020-03-05,365
XCHANGING,64,204425,1651,131222,2021-03-05,2020-03-05,365
XELPMOC,181,30989,1273,18359,2021-03-05,2020-03-05,365
XPROINDIA,25,12140,119,8070,2021-03-05,2020-03-05,365
YAARII,67,363581,2183,205431,2021-03-05,2020-03-05,365
YESBANK,20,147674304,150976,59316117,2021-03-05,2020-03-05,365
ZEEL,187,26280329,149732,4623076,2021-03-05,2020-03-05,365
ZEELEARN,13,986803,1864,538708,2021-03-05,2020-03-05,365
ZEEMEDIA,6,2539633,3828,1684808,2021-03-05,2020-03-05,365
ZENITHEXPO,44,2103,46,1233,2021-03-05,2020-03-05,365
ZENSARTECH,171,318475,6779,159820,2021-03-05,2020-03-05,365
ZENTEC,67,421671,3894,174942,2021-03-05,2020-03-05,365
ZODIACLOTH,110,44155,720,24897,2021-03-05,2020-03-05,365
ZODJRDMKJ,26,3376,89,1836,2021-03-05,2020-03-05,365
ZOTA,147,17370,252,8353,2021-03-05,2020-03-05,365
ZUARI,89,111811,1490,50259,2021-03-05,2020-03-05,365
ZYDUSWELL,1631,50690,4837,25718,2021-03-05,2020-03-05,365
